model_name,dataset,overfitting_level,truncation_strategy,attack_method,auc
resnet18_cifar10_light,cifar10,0.1432,baseline,PCA,0.5820000000000001
resnet18_cifar10_light,cifar10,0.1432,baseline,MPE,0.5964079999999999
resnet18_cifar10_light,cifar10,0.1432,baseline,MLP,0.6174666666666667
resnet18_cifar10_light,cifar10,0.1432,top_k_k1,PCA,0.5820000000000001
resnet18_cifar10_light,cifar10,0.1432,top_k_k1,MPE,0.5
resnet18_cifar10_light,cifar10,0.1432,top_k_k1,MLP,0.5927333333333332
resnet18_cifar10_light,cifar10,0.1432,top_k_k3,PCA,0.5820000000000001
resnet18_cifar10_light,cifar10,0.1432,top_k_k3,MPE,0.595958
resnet18_cifar10_light,cifar10,0.1432,top_k_k3,MLP,0.6112
resnet18_cifar10_light,cifar10,0.1432,top_k_k5,PCA,0.5820000000000001
resnet18_cifar10_light,cifar10,0.1432,top_k_k5,MPE,0.596794
resnet18_cifar10_light,cifar10,0.1432,top_k_k5,MLP,0.6163333333333334
resnet18_cifar10_light,cifar10,0.1432,confidence_t0.1,PCA,0.5820000000000001
resnet18_cifar10_light,cifar10,0.1432,confidence_t0.1,MPE,0.567226
resnet18_cifar10_light,cifar10,0.1432,confidence_t0.1,MLP,0.5972444444444445
resnet18_cifar10_light,cifar10,0.1432,confidence_t0.3,PCA,0.5820000000000001
resnet18_cifar10_light,cifar10,0.1432,confidence_t0.3,MPE,0.517632
resnet18_cifar10_light,cifar10,0.1432,confidence_t0.3,MLP,0.5871777777777778
resnet18_cifar10_light,cifar10,0.1432,confidence_t0.5,PCA,0.5820000000000001
resnet18_cifar10_light,cifar10,0.1432,confidence_t0.5,MPE,0.5
resnet18_cifar10_light,cifar10,0.1432,confidence_t0.5,MLP,0.5687555555555555
resnet18_cifar10_heavy,cifar10,0.22460000000000002,baseline,PCA,0.6399999999999999
resnet18_cifar10_heavy,cifar10,0.22460000000000002,baseline,MPE,0.61138
resnet18_cifar10_heavy,cifar10,0.22460000000000002,baseline,MLP,0.5646222222222222
resnet18_cifar10_heavy,cifar10,0.22460000000000002,top_k_k1,PCA,0.6399999999999999
resnet18_cifar10_heavy,cifar10,0.22460000000000002,top_k_k1,MPE,0.5
resnet18_cifar10_heavy,cifar10,0.22460000000000002,top_k_k1,MLP,0.5579777777777777
resnet18_cifar10_heavy,cifar10,0.22460000000000002,top_k_k3,PCA,0.6399999999999999
resnet18_cifar10_heavy,cifar10,0.22460000000000002,top_k_k3,MPE,0.6126380000000001
resnet18_cifar10_heavy,cifar10,0.22460000000000002,top_k_k3,MLP,0.5507555555555556
resnet18_cifar10_heavy,cifar10,0.22460000000000002,top_k_k5,PCA,0.6399999999999999
resnet18_cifar10_heavy,cifar10,0.22460000000000002,top_k_k5,MPE,0.612014
resnet18_cifar10_heavy,cifar10,0.22460000000000002,top_k_k5,MLP,0.5609333333333333
resnet18_cifar10_heavy,cifar10,0.22460000000000002,confidence_t0.1,PCA,0.6399999999999999
resnet18_cifar10_heavy,cifar10,0.22460000000000002,confidence_t0.1,MPE,0.595456
resnet18_cifar10_heavy,cifar10,0.22460000000000002,confidence_t0.1,MLP,0.5484000000000001
resnet18_cifar10_heavy,cifar10,0.22460000000000002,confidence_t0.3,PCA,0.6399999999999999
resnet18_cifar10_heavy,cifar10,0.22460000000000002,confidence_t0.3,MPE,0.532134
resnet18_cifar10_heavy,cifar10,0.22460000000000002,confidence_t0.3,MLP,0.552888888888889
resnet18_cifar10_heavy,cifar10,0.22460000000000002,confidence_t0.5,PCA,0.6399999999999999
resnet18_cifar10_heavy,cifar10,0.22460000000000002,confidence_t0.5,MPE,0.5
resnet18_cifar10_heavy,cifar10,0.22460000000000002,confidence_t0.5,MLP,0.5176444444444445
resnet18_cifar10_extreme,cifar10,0.30479999999999996,baseline,PCA,0.6539999999999999
resnet18_cifar10_extreme,cifar10,0.30479999999999996,baseline,MPE,0.7321
resnet18_cifar10_extreme,cifar10,0.30479999999999996,baseline,MLP,0.6063555555555556
resnet18_cifar10_extreme,cifar10,0.30479999999999996,top_k_k1,PCA,0.6539999999999999
resnet18_cifar10_extreme,cifar10,0.30479999999999996,top_k_k1,MPE,0.5
resnet18_cifar10_extreme,cifar10,0.30479999999999996,top_k_k1,MLP,0.48475555555555555
resnet18_cifar10_extreme,cifar10,0.30479999999999996,top_k_k3,PCA,0.6539999999999999
resnet18_cifar10_extreme,cifar10,0.30479999999999996,top_k_k3,MPE,0.7322360000000001
resnet18_cifar10_extreme,cifar10,0.30479999999999996,top_k_k3,MLP,0.5996222222222222
resnet18_cifar10_extreme,cifar10,0.30479999999999996,top_k_k5,PCA,0.6539999999999999
resnet18_cifar10_extreme,cifar10,0.30479999999999996,top_k_k5,MPE,0.7324519999999999
resnet18_cifar10_extreme,cifar10,0.30479999999999996,top_k_k5,MLP,0.6066222222222223
resnet18_cifar10_extreme,cifar10,0.30479999999999996,confidence_t0.1,PCA,0.6539999999999999
resnet18_cifar10_extreme,cifar10,0.30479999999999996,confidence_t0.1,MPE,0.623704
resnet18_cifar10_extreme,cifar10,0.30479999999999996,confidence_t0.1,MLP,0.5701333333333334
resnet18_cifar10_extreme,cifar10,0.30479999999999996,confidence_t0.3,PCA,0.6539999999999999
resnet18_cifar10_extreme,cifar10,0.30479999999999996,confidence_t0.3,MPE,0.55029
resnet18_cifar10_extreme,cifar10,0.30479999999999996,confidence_t0.3,MLP,0.5012222222222222
resnet18_cifar10_extreme,cifar10,0.30479999999999996,confidence_t0.5,PCA,0.6539999999999999
resnet18_cifar10_extreme,cifar10,0.30479999999999996,confidence_t0.5,MPE,0.5
resnet18_cifar10_extreme,cifar10,0.30479999999999996,confidence_t0.5,MLP,0.4743777777777778
resnet18_cifar100_light,cifar100,0.3007,baseline,PCA,0.6940000000000002
resnet18_cifar100_light,cifar100,0.3007,baseline,MPE,0.685676
resnet18_cifar100_light,cifar100,0.3007,baseline,MLP,0.6282222222222222
resnet18_cifar100_light,cifar100,0.3007,top_k_k1,PCA,0.6940000000000002
resnet18_cifar100_light,cifar100,0.3007,top_k_k1,MPE,0.5
resnet18_cifar100_light,cifar100,0.3007,top_k_k1,MLP,0.5409555555555555
resnet18_cifar100_light,cifar100,0.3007,top_k_k3,PCA,0.6940000000000002
resnet18_cifar100_light,cifar100,0.3007,top_k_k3,MPE,0.666138
resnet18_cifar100_light,cifar100,0.3007,top_k_k3,MLP,0.6034222222222223
resnet18_cifar100_light,cifar100,0.3007,top_k_k5,PCA,0.6940000000000002
resnet18_cifar100_light,cifar100,0.3007,top_k_k5,MPE,0.674468
resnet18_cifar100_light,cifar100,0.3007,top_k_k5,MLP,0.6152444444444445
resnet18_cifar100_light,cifar100,0.3007,confidence_t0.1,PCA,0.6940000000000002
resnet18_cifar100_light,cifar100,0.3007,confidence_t0.1,MPE,0.6287440000000001
resnet18_cifar100_light,cifar100,0.3007,confidence_t0.1,MLP,0.5883555555555555
resnet18_cifar100_light,cifar100,0.3007,confidence_t0.3,PCA,0.6940000000000002
